,PUBorough,date,hour,trip
0,Bronx,01,1,1
1,Bronx,01,2,1
2,Bronx,01,3,1
3,Bronx,01,4,2
4,Bronx,01,12,2
5,Bronx,01,14,1
6,Bronx,01,18,2
7,Bronx,01,19,2
8,Bronx,01,20,3
9,Bronx,02,1,1
10,Bronx,02,2,1
11,Bronx,02,4,1
12,Bronx,02,6,1
13,Bronx,02,7,1
14,Bronx,02,9,1
15,Bronx,02,10,2
16,Bronx,02,11,1
17,Bronx,02,14,3
18,Bronx,02,15,1
19,Bronx,02,16,1
20,Bronx,02,17,1
21,Bronx,02,19,2
22,Bronx,02,20,1
23,Bronx,02,21,1
24,Bronx,02,22,1
25,Bronx,02,23,1
26,Bronx,03,0,1
27,Bronx,03,7,1
28,Bronx,03,8,2
29,Bronx,03,9,1
30,Bronx,03,13,1
31,Bronx,03,15,1
32,Bronx,03,16,1
33,Bronx,03,17,1
34,Bronx,03,19,1
35,Bronx,04,2,1
36,Bronx,04,5,1
37,Bronx,04,8,1
38,Bronx,04,9,1
39,Bronx,04,11,2
40,Bronx,04,12,3
41,Bronx,04,13,1
42,Bronx,04,14,3
43,Bronx,04,15,1
44,Bronx,04,16,2
45,Bronx,04,17,1
46,Bronx,04,18,6
47,Bronx,04,19,5
48,Bronx,04,20,2
49,Bronx,04,21,1
50,Bronx,04,23,2
51,Bronx,05,5,1
52,Bronx,05,10,1
53,Bronx,05,11,1
54,Bronx,05,12,2
55,Bronx,05,13,3
56,Bronx,05,14,4
57,Bronx,05,15,2
58,Bronx,05,17,3
59,Bronx,05,18,2
60,Bronx,05,19,1
61,Bronx,05,20,2
62,Bronx,05,21,1
63,Bronx,05,22,2
64,Bronx,06,8,3
65,Bronx,06,9,1
66,Bronx,06,10,3
67,Bronx,06,11,2
68,Bronx,06,12,1
69,Bronx,06,13,1
70,Bronx,06,14,2
71,Bronx,06,15,2
72,Bronx,06,16,2
73,Bronx,06,18,2
74,Bronx,06,19,4
75,Bronx,06,20,1
76,Bronx,06,21,1
77,Bronx,06,22,2
78,Bronx,07,0,1
79,Bronx,07,2,1
80,Bronx,07,4,1
81,Bronx,07,8,1
82,Bronx,07,10,1
83,Bronx,07,12,1
84,Bronx,07,13,1
85,Bronx,07,14,2
86,Bronx,07,15,4
87,Bronx,07,16,1
88,Bronx,07,17,1
89,Bronx,07,18,3
90,Bronx,07,19,2
91,Bronx,07,20,2
92,Bronx,07,21,2
93,Bronx,07,22,2
94,Bronx,07,23,1
95,Bronx,08,0,1
96,Bronx,08,2,1
97,Bronx,08,11,1
98,Bronx,08,14,1
99,Bronx,08,15,2
100,Bronx,08,18,1
101,Bronx,08,19,1
102,Bronx,08,20,1
103,Bronx,09,3,1
104,Bronx,09,11,1
105,Bronx,09,12,3
106,Bronx,09,14,1
107,Bronx,09,16,1
108,Bronx,09,17,1
109,Bronx,09,19,1
110,Bronx,09,20,1
111,Bronx,10,0,1
112,Bronx,10,4,1
113,Bronx,10,7,1
114,Bronx,10,13,1
115,Bronx,10,14,1
116,Bronx,10,15,1
117,Bronx,10,16,1
118,Bronx,10,17,3
119,Bronx,10,20,1
120,Bronx,11,5,1
121,Bronx,11,9,1
122,Bronx,11,10,2
123,Bronx,11,11,1
124,Bronx,11,13,1
125,Bronx,11,14,3
126,Bronx,11,16,3
127,Bronx,11,17,2
128,Bronx,11,18,2
129,Bronx,11,19,1
130,Bronx,12,7,1
131,Bronx,12,9,1
132,Bronx,12,10,3
133,Bronx,12,12,2
134,Bronx,12,15,2
135,Bronx,12,18,1
136,Bronx,12,20,2
137,Bronx,12,22,1
138,Bronx,13,0,1
139,Bronx,13,7,1
140,Bronx,13,8,1
141,Bronx,13,12,2
142,Bronx,13,14,2
143,Bronx,13,15,2
144,Bronx,13,16,1
145,Bronx,13,17,2
146,Bronx,13,18,2
147,Bronx,13,19,2
148,Bronx,13,20,2
149,Bronx,13,22,2
150,Bronx,14,0,1
151,Bronx,14,10,2
152,Bronx,14,12,3
153,Bronx,14,14,2
154,Bronx,14,15,1
155,Bronx,14,16,1
156,Bronx,14,17,1
157,Bronx,14,18,2
158,Bronx,14,19,2
159,Bronx,14,22,1
160,Bronx,15,0,2
161,Bronx,15,1,1
162,Bronx,15,14,1
163,Bronx,15,15,1
